Ct,Target,Condition,Cell_line,Additional_info
28.31671,bGAPDH,bIFNa 5-24,BT,
28.472391,bGAPDH,bIFNa 5-24,BT,
27.319675,bGAPDH,bIFNa 5-24,BT,
27.786964,bGAPDH,bRSV dSH 1-24,BT,
26.243061,bGAPDH,bRSV dSH 1-24,BT,
28.193846,bGAPDH,bRSV dSH 1-24,BT,
28.133757,bGAPDH,hRSV 1-24,BT,
28.1008,bGAPDH,hRSV 1-24,BT,
28.54168,bGAPDH,hRSV 1-24,BT,
28.548214,bGAPDH,Mock,BT,
28.370913,bGAPDH,Mock,BT,
27.469374,bGAPDH,Mock,BT,
24.166485,bGAPDH,bIFNa 5-24,MDBK,
22.097334,bGAPDH,bIFNa 5-24,MDBK,
21.470083,bGAPDH,bIFNa 5-24,MDBK,
25.224342,bGAPDH,bRSV dSH 1-24,MDBK,
26.259548,bGAPDH,bRSV dSH 1-24,MDBK,
25.54487,bGAPDH,bRSV dSH 1-24,MDBK,
22.789845,bGAPDH,hRSV 1-24,MDBK,
22.285625,bGAPDH,hRSV 1-24,MDBK,
21.418802,bGAPDH,hRSV 1-24,MDBK,
28.461246,bGAPDH,Mock,MDBK,
22.751095,bGAPDH,Mock,MDBK,
25.86119,bGAPDH,Mock,MDBK,
25.466602,bMx1,bIFNa 5-24,BT,
25.391201,bMx1,bIFNa 5-24,BT,
23.403358,bMx1,bIFNa 5-24,BT,
26.684248,bMx1,bRSV dSH 1-24,BT,
25.706781,bMx1,bRSV dSH 1-24,BT,
26.757488,bMx1,bRSV dSH 1-24,BT,
26.364223,bMx1,hRSV 1-24,BT,
25.506826,bMx1,hRSV 1-24,BT,
26.08137,bMx1,hRSV 1-24,BT,
26.29971,bMx1,Mock,BT,
26.398567,bMx1,Mock,BT,
26.101498,bMx1,Mock,BT,
23.770184,bMx1,bIFNa 5-24,MDBK,
22.322744,bMx1,bIFNa 5-24,MDBK,
22.347706,bMx1,bIFNa 5-24,MDBK,
26.175087,bMx1,bRSV dSH 1-24,MDBK,
26.966063,bMx1,bRSV dSH 1-24,MDBK,
25.852695,bMx1,bRSV dSH 1-24,MDBK,
26.586283,bMx1,hRSV 1-24,MDBK,
26.2486,bMx1,hRSV 1-24,MDBK,
26.159418,bMx1,hRSV 1-24,MDBK,
27.584734,bMx1,Mock,MDBK,
26.318695,bMx1,Mock,MDBK,
25.821316,bMx1,Mock,MDBK,
36.324844,bRSV_N,Mock,MDBK,
37.5486,bRSV_N,Mock,MDBK,
42.76491,bRSV_N,Mock,MDBK,
20.889915,bRSV_N,bRSV dSH 1-24,MDBK,
20.450518,bRSV_N,bRSV dSH 1-24,MDBK,
20.325111,bRSV_N,bRSV dSH 1-24,MDBK,
33.91479,bRSV_N,Mock,BT,
34.8456,bRSV_N,Mock,BT,
34.2733,bRSV_N,Mock,BT,
15.486782,bRSV_N,bRSV dSH 1-24,BT,
15.368907,bRSV_N,bRSV dSH 1-24,BT,
15.82091,bRSV_N,bRSV dSH 1-24,BT,
42.544918,bRSV_N,Mock,A549,
37.824577,bRSV_N,Mock,A549,
37.05127,bRSV_N,Mock,A549,
18.692377,bRSV_N,bRSV dSH 1-24,A549,
18.607563,bRSV_N,bRSV dSH 1-24,A549,
18.878788,bRSV_N,bRSV dSH 1-24,A549,
35.63209,bRSV_N,Mock,BEAS2B,
36.820618,bRSV_N,Mock,BEAS2B,
34.60048,bRSV_N,Mock,BEAS2B,
17.98392,bRSV_N,bRSV dSH 1-24,BEAS2B,
17.675003,bRSV_N,bRSV dSH 1-24,BEAS2B,
17.511185,bRSV_N,bRSV dSH 1-24,BEAS2B,
36.756634,hRSV_N,Mock,MDBK,
37.566853,hRSV_N,Mock,MDBK,
33.866974,hRSV_N,Mock,MDBK,
14.832498,hRSV_N,hRSV 1-24,MDBK,
14.418273,hRSV_N,hRSV 1-24,MDBK,
14.572706,hRSV_N,hRSV 1-24,MDBK,
33.74733,hRSV_N,Mock,BT,
32.1521,hRSV_N,Mock,BT,
30.885424,hRSV_N,Mock,BT,
15.377597,hRSV_N,hRSV 1-24,BT,
15.477008,hRSV_N,hRSV 1-24,BT,
15.285653,hRSV_N,hRSV 1-24,BT,
37.45612,hRSV_N,Mock,A549,
36.993454,hRSV_N,Mock,A549,
36.7564,hRSV_N,Mock,A549,
13.549414,hRSV_N,hRSV 1-24 ROXO 5-24,A549,
13.470895,hRSV_N,hRSV 1-24 ROXO 5-24,A549,
13.778558,hRSV_N,hRSV 1-24 ROXO 5-24,A549,
35.65231,hRSV_N,Mock,BEAS2B,
36.51899,hRSV_N,Mock,BEAS2B,
34.682835,hRSV_N,Mock,BEAS2B,
14.583216,hRSV_N,hRSV 1-24 ROXO 5-24,BEAS2B,
14.187663,hRSV_N,hRSV 1-24 ROXO 5-24,BEAS2B,
14.362048,hRSV_N,hRSV 1-24 ROXO 5-24,BEAS2B,
33.27481,hIFIT1,Mock,A549,
34.286552,hIFIT1,Mock,A549,
34.4906,hIFIT1,Mock,A549,
26.478146,hIFIT1,bRSV dSH 1-24,A549,
26.532715,hIFIT1,bRSV dSH 1-24,A549,
26.958065,hIFIT1,bRSV dSH 1-24,A549,
30.286137,hIFIT1,hRSV 1-24 ROXO 5-24,A549,
29.524681,hIFIT1,hRSV 1-24 ROXO 5-24,A549,
29.182043,hIFIT1,hRSV 1-24 ROXO 5-24,A549,
26.871027,hIFIT1,hIFNa 1000-24,A549,
26.718311,hIFIT1,hIFNa 1000-24,A549,
25.545822,hIFIT1,hIFNa 1000-24,A549,
38.04134,hIFIT2,Mock,A549,
38.244904,hIFIT2,Mock,A549,
36.878372,hIFIT2,Mock,A549,
32.25643,hIFIT2,bRSV dSH 1-24,A549,
32.03785,hIFIT2,bRSV dSH 1-24,A549,
32.47447,hIFIT2,bRSV dSH 1-24,A549,
32.702984,hIFIT2,hRSV 1-24 ROXO 5-24,A549,
32.538483,hIFIT2,hRSV 1-24 ROXO 5-24,A549,
32.953716,hIFIT2,hRSV 1-24 ROXO 5-24,A549,
33.78118,hIFIT2,hIFNa 1000-24,A549,
33.51881,hIFIT2,hIFNa 1000-24,A549,
32.977695,hIFIT2,hIFNa 1000-24,A549,
34.67985,hIFIT3,Mock,A549,
36.930676,hIFIT3,Mock,A549,
37.000904,hIFIT3,Mock,A549,
29.40828,hIFIT3,bRSV dSH 1-24,A549,
29.631691,hIFIT3,bRSV dSH 1-24,A549,
30.933704,hIFIT3,bRSV dSH 1-24,A549,
34.01739,hIFIT3,hRSV 1-24 ROXO 5-24,A549,
31.932377,hIFIT3,hRSV 1-24 ROXO 5-24,A549,
32.00153,hIFIT3,hRSV 1-24 ROXO 5-24,A549,
31.987776,hIFIT3,hIFNa 1000-24,A549,
31.53155,hIFIT3,hIFNa 1000-24,A549,
28.97607,hIFIT3,hIFNa 1000-24,A549,
36.53017044,hIFIT5,Mock,A549,
36.94193268,hIFIT5,Mock,A549,
35.12321472,hIFIT5,Mock,A549,
33.8433075,hIFIT5,bRSV dSH 1-24,A549,
33.30157471,hIFIT5,bRSV dSH 1-24,A549,
33.18407059,hIFIT5,bRSV dSH 1-24,A549,
35.01197052,hIFIT5,hRSV 1-24 ROXO 5-24,A549,
35.10480881,hIFIT5,hRSV 1-24 ROXO 5-24,A549,
36.2652092,hIFIT5,hRSV 1-24 ROXO 5-24,A549,
33.26561356,hIFIT5,hIFNa 1000-24,A549,
33.71578217,hIFIT5,hIFNa 1000-24,A549,
34.43896866,hIFIT5,hIFNa 1000-24,A549,
30.443714,hIFIT1,Mock,BEAS2B,
29.672134,hIFIT1,Mock,BEAS2B,
28.845917,hIFIT1,Mock,BEAS2B,
30.039465,hIFIT1,bRSV dSH 1-24,BEAS2B,
27.804287,hIFIT1,bRSV dSH 1-24,BEAS2B,
28.132534,hIFIT1,bRSV dSH 1-24,BEAS2B,
33.397625,hIFIT1,hRSV 1-24 ROXO 5-24,BEAS2B,
32.981327,hIFIT1,hRSV 1-24 ROXO 5-24,BEAS2B,
31.071117,hIFIT1,hRSV 1-24 ROXO 5-24,BEAS2B,
26.903517,hIFIT1,hIFNa 1000-24,BEAS2B,
27.659212,hIFIT1,hIFNa 1000-24,BEAS2B,
29.350893,hIFIT1,hIFNa 1000-24,BEAS2B,
35.84872,hIFIT2,Mock,BEAS2B,
34.96267,hIFIT2,Mock,BEAS2B,
35.606636,hIFIT2,Mock,BEAS2B,
35.581734,hIFIT2,bRSV dSH 1-24,BEAS2B,
34.512135,hIFIT2,bRSV dSH 1-24,BEAS2B,
34.96664,hIFIT2,bRSV dSH 1-24,BEAS2B,
34.866024,hIFIT2,hRSV 1-24 ROXO 5-24,BEAS2B,
35.149635,hIFIT2,hRSV 1-24 ROXO 5-24,BEAS2B,
34.28746,hIFIT2,hRSV 1-24 ROXO 5-24,BEAS2B,
34.44457,hIFIT2,hIFNa 1000-24,BEAS2B,
32.400345,hIFIT2,hIFNa 1000-24,BEAS2B,
32.53159,hIFIT2,hIFNa 1000-24,BEAS2B,
34.583733,hIFIT3,Mock,BEAS2B,
34.014645,hIFIT3,Mock,BEAS2B,
32.150536,hIFIT3,Mock,BEAS2B,
35.369293,hIFIT3,bRSV dSH 1-24,BEAS2B,
31.118858,hIFIT3,bRSV dSH 1-24,BEAS2B,
32.16453,hIFIT3,bRSV dSH 1-24,BEAS2B,
37.52783,hIFIT3,hRSV 1-24 ROXO 5-24,BEAS2B,
36.920986,hIFIT3,hRSV 1-24 ROXO 5-24,BEAS2B,
32.60775,hIFIT3,hRSV 1-24 ROXO 5-24,BEAS2B,
30.165133,hIFIT3,hIFNa 1000-24,BEAS2B,
30.841492,hIFIT3,hIFNa 1000-24,BEAS2B,
33.24528,hIFIT3,hIFNa 1000-24,BEAS2B,
35.12265778,hIFIT5,Mock,BEAS2B,
34.59728622,hIFIT5,Mock,BEAS2B,
34.49874878,hIFIT5,Mock,BEAS2B,
35.30020142,hIFIT5,bRSV dSH 1-24,BEAS2B,
33.20800018,hIFIT5,bRSV dSH 1-24,BEAS2B,
33.36139297,hIFIT5,bRSV dSH 1-24,BEAS2B,
36.67665863,hIFIT5,hRSV 1-24 ROXO 5-24,BEAS2B,
36.80149078,hIFIT5,hRSV 1-24 ROXO 5-24,BEAS2B,
34.97107697,hIFIT5,hRSV 1-24 ROXO 5-24,BEAS2B,
32.93935394,hIFIT5,hIFNa 1000-24,BEAS2B,
33.68104172,hIFIT5,hIFNa 1000-24,BEAS2B,
35.3503685,hIFIT5,hIFNa 1000-24,BEAS2B,
22.345457,hGAPDH,Mock,A549,
22.555557,hGAPDH,Mock,A549,
22.170855,hGAPDH,Mock,A549,
22.0256,hGAPDH,bRSV dSH 1-24,A549,
22.220903,hGAPDH,bRSV dSH 1-24,A549,
21.9965,hGAPDH,bRSV dSH 1-24,A549,
22.134523,hGAPDH,hRSV 1-24 ROXO 5-24,A549,
22.305208,hGAPDH,hRSV 1-24 ROXO 5-24,A549,
22.388435,hGAPDH,hRSV 1-24 ROXO 5-24,A549,
21.984028,hGAPDH,hIFNa 1000-24,A549,
22.13529,hGAPDH,hIFNa 1000-24,A549,
22.442225,hGAPDH,hIFNa 1000-24,A549,
22.44584,hGAPDH,Mock,BEAS2B,
22.417065,hGAPDH,Mock,BEAS2B,
22.400724,hGAPDH,Mock,BEAS2B,
22.223192,hGAPDH,bRSV dSH 1-24,BEAS2B,
21.872173,hGAPDH,bRSV dSH 1-24,BEAS2B,
22.24747,hGAPDH,bRSV dSH 1-24,BEAS2B,
22.833456,hGAPDH,hRSV 1-24 ROXO 5-24,BEAS2B,
22.33951,hGAPDH,hRSV 1-24 ROXO 5-24,BEAS2B,
22.689648,hGAPDH,hRSV 1-24 ROXO 5-24,BEAS2B,
21.978989,hGAPDH,hIFNa 1000-24,BEAS2B,
22.833416,hGAPDH,hIFNa 1000-24,BEAS2B,
22.488922,hGAPDH,hIFNa 1000-24,BEAS2B,
